nsu;chave;tipo_documento;json_path;xml_path;registrado_em
601;52014051226743708000126000000001292525101760627681;NFSE;saida_adn_nfse\empresas\empresa_2_cert_2\json\601_52014051226743708000126000000001292525101760627681.json;saida_adn_nfse\empresas\empresa_2_cert_2\xml\GUARDIA_SEGURANCA_E_VIGILANCIA_LTDA NFS-e 12925.xml;2026-07-09T14:17:05
602;52014051226743708000126000000001292625101760627693;NFSE;saida_adn_nfse\empresas\empresa_2_cert_2\json\602_52014051226743708000126000000001292625101760627693.json;saida_adn_nfse\empresas\empresa_2_cert_2\xml\GUARDIA_SEGURANCA_E_VIGILANCIA_LTDA NFS-e 12926.xml;2026-07-09T14:17:11
603;52014051226743708000126000000001293025101760627805;NFSE;saida_adn_nfse\empresas\empresa_2_cert_2\json\603_52014051226743708000126000000001293025101760627805.json;saida_adn_nfse\empresas\empresa_2_cert_2\xml\GUARDIA_SEGURANCA_E_VIGILANCIA_LTDA NFS-e 12930.xml;2026-07-09T14:17:17
604;52014051226743708000126000000001293125101760627825;NFSE;saida_adn_nfse\empresas\empresa_2_cert_2\json\604_52014051226743708000126000000001293125101760627825.json;saida_adn_nfse\empresas\empresa_2_cert_2\xml\GUARDIA_SEGURANCA_E_VIGILANCIA_LTDA NFS-e 12931.xml;2026-07-09T14:17:17
605;52014051226743708000126000000001293225101760627845;NFSE;saida_adn_nfse\empresas\empresa_2_cert_2\json\605_52014051226743708000126000000001293225101760627845.json;saida_adn_nfse\empresas\empresa_2_cert_2\xml\GUARDIA_SEGURANCA_E_VIGILANCIA_LTDA NFS-e 12932.xml;2026-07-09T14:17:22
606;52014051226743708000126000000001293925101761128864;NFSE;saida_adn_nfse\empresas\empresa_2_cert_2\json\606_52014051226743708000126000000001293925101761128864.json;saida_adn_nfse\empresas\empresa_2_cert_2\xml\GUARDIA_SEGURANCA_E_VIGILANCIA_LTDA NFS-e 12939.xml;2026-07-09T14:17:25
607;52014051226743708000126000000001294025101761146757;NFSE;saida_adn_nfse\empresas\empresa_2_cert_2\json\607_52014051226743708000126000000001294025101761146757.json;saida_adn_nfse\empresas\empresa_2_cert_2\xml\GUARDIA_SEGURANCA_E_VIGILANCIA_LTDA NFS-e 12940.xml;2026-07-09T14:17:30
